"","Sample","X","Y","study"
"70","MPS17_86",-0.180452499665521,-0.0490001038520624,"McCoy et al 2021"
"71","MPS17_87",-0.199194503156593,-0.0868047324160949,"McCoy et al 2021"
"72","MPS17_88",-0.142630268282303,0.00288922907612406,"McCoy et al 2021"
"73","MPS17_89",-0.134014974085379,0.016778627320623,"McCoy et al 2021"
"74","MPS17_90",-0.176065529894415,0.138091879493145,"McCoy et al 2021"
"75","MPS17_91",-0.148655504542303,0.0906591402715435,"McCoy et al 2021"
"76","MPS17_92",-0.136635575526034,0.0304120270337269,"McCoy et al 2021"
"77","MPS17_93",-0.0978064255033636,-0.0330084700027934,"McCoy et al 2021"
"78","MPS17_94",-0.178669764351819,-0.0504510311619073,"McCoy et al 2021"
"79","MPS17_95",-0.211165306522203,0.0157934541352256,"McCoy et al 2021"
"80","MPS17_96",-0.229842043928837,-0.0169819314263881,"McCoy et al 2021"
"81","MPS17_97",-0.176065529894415,0.138091879493145,"McCoy et al 2021"
"82","MPS17_98",-0.198957599880934,-0.0841210597664939,"McCoy et al 2021"
"83","MPS17_99",-0.162510469448949,-0.140537486515153,"McCoy et al 2021"
"84","mi1",0.0675547124714648,-0.326137959005167,"Kaitany et al 2001"
"85","mi10",0.499328694135208,-0.0622574035606235,"Kaitany et al 2001"
"86","mi11",0.499328694135208,-0.0622574035606235,"Kaitany et al 2001"
"87","mi12",0.499328694135208,-0.0622574035606234,"Kaitany et al 2001"
"88","mi13",0.441342527607291,0.144497159174747,"Kaitany et al 2001"
"89","mi14",0.360613256403336,-0.0459971427033837,"Kaitany et al 2001"
"90","mi15",0.36200114659932,0.26748421317519,"Kaitany et al 2001"
"91","mi16",0.335977821092863,0.256224355573811,"Kaitany et al 2001"
"92","mi17",0.339381421254343,0.256371971036918,"Kaitany et al 2001"
"93","mi18",0.339381421254343,0.256371971036918,"Kaitany et al 2001"
"94","mi19",0.0506800342984043,-0.260581830710673,"Kaitany et al 2001"
"95","mi2",0.578162790330795,0.0377859947670233,"Kaitany et al 2001"
"96","mi20",0.272192243759578,0.0364219651046769,"Kaitany et al 2001"
"97","mi21",0.237337773636148,-0.0294806313971803,"Kaitany et al 2001"
"98","mi22",-0.0282011776002795,-0.193756222945442,"Kaitany et al 2001"
"99","mi23",-0.0124732152665122,-0.13187656533985,"Kaitany et al 2001"
"100","mi24",0.19858372062638,0.157270572346115,"Kaitany et al 2001"
"101","mi25",0.19858372062638,0.157270572346115,"Kaitany et al 2001"
"102","mi26",0.21297309566769,0.177228083167619,"Kaitany et al 2001"
"103","mi27",-0.014345659325447,0.163284509950552,"Kaitany et al 2001"
"104","mi28",0.0286661739017107,0.0108683514780028,"Kaitany et al 2001"
"105","mi29",-0.00321972951095053,0.30243560242998,"Kaitany et al 2001"
"106","mi3",0.578162790330795,0.0377859947670235,"Kaitany et al 2001"
"107","mi30",0.0602232962294284,0.521291648779749,"Kaitany et al 2001"
"108","mi31",-0.0458753183723055,-0.0932053753444334,"Kaitany et al 2001"
