"","Sample","X","Y"
"MPS17_100","MPS17_100",-0.176065529894415,0.138091879493145
"MPS17_101","MPS17_101",-0.148655504542301,0.0906591402715428
"MPS17_102","MPS17_102",-0.0730498675359037,-0.342681337367496
"MPS17_103","MPS17_103",-0.210670693309995,0.000754256104140508
"MPS17_104","MPS17_104",-0.172467648486355,-0.157858321388489
"MPS17_105","MPS17_105",-0.180376487011186,0.197079322735432
"MPS17_106","MPS17_106",-0.237648824652266,0.0587471116051724
"MPS17_107","MPS17_107",-0.0441092909194491,-0.208582545219683
"MPS17_108","MPS17_108",-0.0444937868805245,0.338462340709278
"MPS17_109","MPS17_109",-0.0692783567195031,-0.317673168033329
"MPS17_110","MPS17_110",-0.247033913440083,0.241058523454672
"MPS17_111","MPS17_111",-0.176065529894415,0.138091879493145
"MPS17_112","MPS17_112",-0.0730498675359044,-0.342681337367496
"MPS17_113","MPS17_113",-0.229842043928837,-0.016981931426388
"MPS17_114","MPS17_114",-0.0730498675359044,-0.342681337367496
"MPS17_115","MPS17_115",-0.216265239810422,-0.0528714234938766
"MPS17_116","MPS17_116",-0.176065529894415,0.138091879493145
"MPS17_117","MPS17_117",-0.211165306522203,0.0157934541352256
"MPS17_118","MPS17_118",-0.199693958766512,-0.0663849069623031
"MPS17_120","MPS17_120",-0.162945838474571,-0.144951311826794
"MPS17_123","MPS17_123",-0.102787268883711,-0.227201469393757
"MPS17_124","MPS17_124",-0.115095664770825,0.0475834833412684
"MPS17_125","MPS17_125",-0.168431076556647,0.0481339871021691
"MPS17_126","MPS17_126",-0.178669764351819,-0.0504510311619073
"MPS17_127","MPS17_127",-0.180452499665521,-0.0490001038520624
"MPS17_128","MPS17_128",-0.169862810470858,-0.0976577225061721
"MPS17_129","MPS17_129",-0.211165306522203,0.0157934541352256
"MPS17_131","MPS17_131",-0.211165306522203,0.0157934541352257
"MPS17_134","MPS17_134",-0.136635575526034,0.030412027033727
"MPS17_135","MPS17_135",-0.0978064255033636,-0.0330084700027934
"MPS17_136","MPS17_136",-0.229842043928837,-0.016981931426388
"MPS17_138","MPS17_138",-0.25959774775022,0.22322095559056
"MPS17_139","MPS17_139",-0.162945838474571,-0.144951311826794
"MPS17_141","MPS17_141",-0.237648824652266,0.0587471116051724
"MPS17_142","MPS17_142",-0.149939421135242,0.101487817899507
"MPS17_144","MPS17_144",-0.107062135138571,-0.172117278398842
"MPS17_16","MPS17_16",-0.0964029541566969,-0.131049157836573
"MPS17_35","MPS17_35",0.00628074586645726,-0.402256917877415
"MPS17_39","MPS17_39",0.131020737486811,-0.369332737924239
"MPS17_40","MPS17_40",-0.0730498675359044,-0.342681337367496
